SEC            ( Area cm2   I2 cm4   I3 cm4)
YG:351x9.0        96.70     14147.55  14147.55
YG:351x10         107.13    15584.62  15584.62
YG:351x12         127.80    18381.63  18381.63
YG:351x14         148.22    21077.86  21077.86
YG:351x16         168.39    23675.75  23675.75
YG:377x9.0        104.00    17628.57  17628.57
YG:377x10         115.24    19430.86  19430.86
YG:377x11         126.42    21203.11  21203.11
YG:377x12         137.53    22945.66  22945.66
YG:377x13         148.59    24658.84  24658.84
YG:377x14         159.58    26342.98  26342.98
YG:377x15         170.50    27998.42  27998.42
YG:377x16         181.32    29625.48  29625.48
YG:402x9          111.06    21469.37  21469.37
YG:402x10         123.09    23676.21  23676.21
YG:402x11         135.05    25848.66  25848.66
YG:402x12         146.95    27987.08  27987.08
YG:402x13         158.79    30091.82  30091.82
YG:402x14         170.56    32163.24  32163.24
YG:402x15         182.28    34201.69  34201.69
YG:402x16         193.93    36207.53  36207.53
YG:426x9          117.84    25646.28  25646.28
YG:426x10         130.62    28294.52  28294.52
YG:426x11         143.34    30903.91  30903.91
YG:426x12         156.00    33474.84  33474.84
YG:426x13         168.59    36007.67  36007.67
YG:426x14         181.12    38502.80  38502.80
YG:426x15         193.58    40960.60  40960.60
YG:426x16         205.98    43381.44  43381.44
YG:450x9          124.63    30332.67  30332.67
YG:450x10         138.61    33477.56  33477.56
YG:450x11         151.63    36578.87  36578.87
YG:450x12         165.04    39637.01  39637.01
YG:450x13         178.38    42652.38  42652.38
YG:450x14         191.67    45625.38  45625.38
YG:450x15         204.89    48556.41  48556.41
YG:450x16         218.04    51445.87  51445.87
YG:480x9          133.11    36951.77  36951.77
YG:480x10         147.58    40800.14  40800.14
YG:480x11         161.99    44598.63  44598.63
YG:480x12         176.34    48347.69  48347.69
YG:480x13         190.63    52047.74  52047.74
YG:480x14         204.85    55699.21  55699.21
YG:480x15         219.02    59302.54  59302.54
YG:480x16         233.11    62858.14  62858.14
YG:500x9          138.76    41860.49  41860.49
YG:500x10         153.86    46231.77  46231.77
YG:500x11         168.90    50548.75  50548.75
YG:500x12         183.88    54811.88  54811.88
YG:500x13         198.79    59021.61  59021.61
YG:500x14         213.65    63178.39  63178.39
YG:500x15         228.44    67282.66  67282.66
YG:500x16         243.16    71334.87  71334.87
YG:530x9          147.23    50009.99  50009.99
YG:530x10         163.28    55251.25  55251.25
YG:530x11         179.26    60431.21  60431.21
YG:530x12         195.28    65550.35  65550.35
YG:530x13         211.04    70609.15  70609.15
YG:530x14         226.83    75608.08  75608.08
YG:530x15         242.57    80547.62  80547.62
YG:530x16         258.23    85428.24  85428.24
